,player_name,teams_played_for,league,games,minutes_played,goals,npg,assists,xG,xA,npxG,xG90,xA90,npxG90,position,shots,key_passes,yellow_cards,red_cards,xGBuildup,xGChain
1233,Gotoku Sakai,VfB Stuttgart,Bundesliga,18,1441,1,1,1,0.308562988,1.905106898,0.308562988,0.019271804,0.118986552,0.019271804,D S,9,15,0,0,2.339732388,3.824937396
1234,Emir Spahic,Bayer Leverkusen,Bundesliga,22,1874,1,1,0,0.712716339,0.3122099,0.712716339,0.03422864,0.014994072,0.03422864,D,10,2,5,2,3.389649893,3.793332408
1235,Cléber,Hamburger SV,Bundesliga,12,1030,1,1,0,0.705799399,0,0.705799399,0.061671792,0,0.061671792,D S,13,0,4,1,0.444236644,0.784262739
1236,Nicolai Müller,Hamburger SV,Bundesliga,27,2089,1,1,4,3.647579357,3.836670441,3.647579357,0.157147986,0.165294562,0.157147986,F M S,25,26,7,0,3.344844227,8.843421809
1237,Ömer Toprak,Bayer Leverkusen,Bundesliga,29,2494,1,1,0,0.613630466,1.230259014,0.613630466,0.022143842,0.044395875,0.022143842,D S,10,9,10,0,2.631571284,3.642420848
1238,Wendell,Bayer Leverkusen,Bundesliga,26,2251,1,1,1,0.82911014,1.333063303,0.82911014,0.033149672,0.053298844,0.033149672,D S,17,23,8,0,3.128107914,4.785395266
1239,Tony Jantschke,Borussia M.Gladbach,Bundesliga,31,2746,1,1,0,1.242634693,1.00184823,1.242634693,0.040727284,0.032835521,0.040727284,D,12,14,5,0,8.858130559,9.349405855
1240,Thorgan Hazard,Borussia M.Gladbach,Bundesliga,28,901,1,1,7,2.631049165,4.528498815,2.631049165,0.262812902,0.452347273,0.262812902,F M S,20,21,1,0,3.751178752,9.243096885
1241,Roel Brouwers,Borussia M.Gladbach,Bundesliga,20,1411,1,1,0,1.222458461,0.315068966,1.222458461,0.077973963,0.020096532,0.077973963,D S,6,3,2,0,4.735051742,4.758323658
1242,Leonardo Bittencourt,Hannover 96,Bundesliga,26,1375,1,1,3,2.397034777,1.718186804,2.397034777,0.156896822,0.112463136,0.156896822,M S,30,16,5,1,1.461154845,5.028438188
